Model,R²,MAE,RMSE
OLS,0.6135534172450923,3.912850587377589,5.622379801790512
GWR,0.6288613301913629,3.3595205556539005,5.1577346539630495
RF,0.6120290201708277,3.788080184282526,5.633458051912148
XGBoost,0.6150206419408175,3.801302163354282,5.6116963855024276
