cell_id,centroid_lat,centroid_lon,pop_density_norm,working_pop_density,func_mixture_degree,recreational_density,catering_density,commercial_density,public_service_density,open_space_density,business_office_density,floor_area_proxy,trunk_road_density,secondary_road_density,intersection_density,vendor_density
0,-6.99775,107.55224999999999,0.45237821360786795,0.9678430668918323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7749039324862467,0.16108134050670578,0.25930550649915635,0.3641758009398765,24.7
1,-6.99325,107.55224999999999,0.45237821360786795,0.9923655935606022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8248714473809221,0.0,0.15344147983150436,0.28860249407989835,18.6
2,-6.988749999999999,107.55224999999999,0.45237821360786795,0.9725575731176207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8225884426311535,0.0,0.2925431639948162,0.28860249407989835,20.5
3,-6.984249999999999,107.55224999999999,0.45237821360786795,0.8877616113147736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7328299431452634,0.0,0.24722309025884712,0.3641758009398765,17.8
4,-6.979749999999999,107.55224999999999,0.45237821360786795,0.8709767880786815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8526911577517425,0.0,0.4052182791819144,0.28860249407989835,20.0
5,-6.97525,107.55224999999999,0.45237821360786795,0.9293766461366001,0.3068732785714349,0.0,0.0,0.15117821092177644,0.35541805240316376,0.0,0.4254921071067263,0.8957766343683886,0.0,0.6130336289441459,0.728351601879753,26.0
6,-6.970749999999999,107.55224999999999,0.45237821360786795,0.9958495606253371,0.33333333333333326,0.0,0.0,0.0,0.35541805240316376,0.0,0.21274605355336315,0.8761194689039015,0.4350539331703191,0.6999172741200419,0.8348661954897131,27.4
7,-6.96625,107.55224999999999,0.45237821360786795,0.9470562638875837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8353607342543539,0.3038609104249979,0.5889064156055979,0.728351601879753,22.6
8,-6.961749999999998,107.55224999999999,0.45237821360786795,0.9991002149055676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8772468416609104,0.0,0.5169530673743451,0.728351601879753,21.4
9,-6.957249999999998,107.55224999999999,0.45237821360786795,0.9567225308599129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7694749997355171,0.0,0.06973706412784474,0.18208790046993825,18.0
10,-6.952749999999997,107.55224999999999,0.45237821360786795,0.9522791740910147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8103009765343984,0.0,0.13416226249457394,0.0,16.2
11,-6.948249999999998,107.55224999999999,0.45237821360786795,0.8974358910845863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7443733200349703,0.0,0.15390413105536935,0.0,16.0
12,-6.943749999999998,107.55224999999999,0.45237821360786795,0.8823801105286655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7959841519789408,0.0,0.18832098768897046,0.0,26.2
13,-6.939249999999999,107.55224999999999,0.45237821360786795,0.9860650153611042,0.0,0.0,0.0,0.0,0.0,0.48299493849177877,0.0,0.5967131856288979,0.0,0.14806050195112316,0.28860249407989835,3.1
14,-6.9347499999999975,107.55224999999999,0.45237821360786795,0.9633520200305015,0.5,0.0,0.0,0.0,0.35541805240316376,0.0,0.0,0.8888003769417463,0.0,0.7519492402777966,0.6738052990918816,26.7
15,-6.930249999999997,107.55224999999999,0.45237821360786795,0.9591495966130185,0.0,0.0,0.0,0.0,0.0,0.3296953369198657,0.0,0.8496268406680134,0.0,0.6660263446775072,0.6932732641013545,3.4
16,-6.925749999999998,107.55224999999999,0.45237821360786795,0.8716318783347734,0.0,0.0,0.0,0.0,0.0,0.3296953369198657,0.0,0.7762947624299221,0.0,0.7584859821641401,0.8558931995618199,4.4
17,-6.921249999999997,107.55224999999999,0.45237821360786795,0.9439406944740873,0.5,0.0,0.0,0.0,0.35541805240316376,0.0,0.0,0.7947944405561711,0.35541665192203037,0.23816306288789962,0.5772049881597967,25.6
18,-6.916749999999997,107.55224999999999,0.45237821360786795,0.8750451265998365,0.0,0.0,0.0,0.0,0.2242438242175754,0.0,0.0,0.7010989054118352,0.18540094547606353,0.5203744465107422,0.6299206402569856,21.4
