cell_id,centroid_lon,centroid_lat,kecamatan,density,pop_density_norm,_poi_raw_count,working_pop_density,func_mixture_degree,recreational_density_raw,recreational_density,catering_density_raw,catering_density,commercial_density_raw,commercial_density,public_service_density_raw,public_service_density,open_space_density_raw,open_space_density,business_office_density_raw,business_office_density,floor_area_raw,floor_area_proxy,trunk_road_density_raw,secondary_road_density_raw,trunk_road_density,secondary_road_density,intersection_count,intersection_density,vendor_density,suitability_score,zone_class,predicted_density,sensitivity_zone,sensitivity_label,hotspot_class
14,107.55224999999999,-6.9347499999999975,Jawa Barat,205400.0,0.45237821360786795,1.0,0.9633520200305015,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.35541805240316376,0.0,0.0,0.0,0.0,1112.0,0.8888003769417463,0.0,7268.172393269629,0.0,0.7519492402777966,12.0,0.6738052990918816,26.7,0.4855421,Moderately Suitable,24.5419,0,Positive Sensitivity,Not Significant
15,107.55224999999999,-6.930249999999997,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9591495966130185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3296953369198657,0.0,0.0,816.0,0.8496268406680134,0.0,6437.660991301726,0.0,0.6660263446775072,13.0,0.6932732641013545,3.4,0.069635846,Not Suitable,5.732349,1,Negative Sensitivity,Not Significant
16,107.55224999999999,-6.925749999999998,Jawa Barat,205400.0,0.45237821360786795,0.0,0.8716318783347734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3296953369198657,0.0,0.0,457.0,0.7762947624299221,0.0,7331.355071534852,0.0,0.7584859821641401,25.0,0.8558931995618199,4.4,0.05201513,Not Suitable,4.935444,1,Negative Sensitivity,Hot Spot (95%)
17,107.55224999999999,-6.921249999999997,Jawa Barat,205400.0,0.45237821360786795,1.0,0.9439406944740873,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.35541805240316376,0.0,0.0,0.0,0.0,529.0,0.7947944405561711,919.5208535448746,2302.0306505514577,0.35541665192203037,0.23816306288789962,8.0,0.5772049881597967,25.6,0.48157957,Moderately Suitable,24.362694,0,Positive Sensitivity,Not Significant
18,107.55224999999999,-6.916749999999997,Jawa Barat,205400.0,0.45237821360786795,0.0,0.8750451265998365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2242438242175754,0.0,0.0,0.0,0.0,252.0,0.7010989054118352,479.6624882662386,5029.8224716539,0.18540094547606353,0.5203744465107422,10.0,0.6299206402569856,21.4,0.3984174,Moderately Suitable,20.601646,1,Negative Sensitivity,Hot Spot (95%)
19,107.55224999999999,-6.912249999999998,Jawa Barat,205400.0,0.45237821360786795,0.0,0.8956616445640045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.4765566005284101,520.5785937787786,3180.4886682955903,0.20121599216575317,0.3290464106288418,4.0,0.42279501184020335,21.9,0.385408,Moderately Suitable,20.01329,1,Negative Sensitivity,Hot Spot (90%)
20,107.55224999999999,-6.9077499999999965,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9628113150435014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.5346257008479758,830.3462944936398,3124.1530639534612,0.3209485666225744,0.3232180520548375,7.0,0.5462637014098147,23.6,0.43825105,Moderately Suitable,22.403141,0,Positive Sensitivity,Hot Spot (95%)
21,107.55224999999999,-6.9032499999999954,Jawa Barat,205400.0,0.45237821360786795,0.0,0.8674655389329421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.42220142635024566,282.3362711163537,2566.2204264976385,0.10912967531891643,0.26549556004988906,3.0,0.3641758009398765,18.3,0.343586,Not Suitable,18.121872,1,Negative Sensitivity,Hot Spot (99%)
22,107.55224999999999,-6.898749999999996,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9053250787451729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.46089429998029807,518.4823245664674,3717.873612767934,0.2004057343210348,0.3846430831990867,3.0,0.3641758009398765,22.5,0.39687333,Moderately Suitable,20.531815,1,Negative Sensitivity,Hot Spot (99%)
23,107.55224999999999,-6.894249999999996,Jawa Barat,205400.0,0.45237821360786795,1.0,0.9679470667957594,0.5,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,1.0,0.2242438242175754,0.0,0.0,0.0,0.0,4.0,0.20392115195117816,0.0,1585.1254230528098,0.0,0.1639936139535324,4.0,0.42279501184020335,26.0,0.46342847,Moderately Suitable,23.541801,0,Positive Sensitivity,Hot Spot (95%)
24,107.55224999999999,-6.889749999999995,Jawa Barat,122750.0,0.214700638408006,0.0,0.831073929651193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,0.70649135052067,0.0,2801.5314860604044,0.0,0.28984032829328327,6.0,0.5111853636314163,11.7,0.20618619,Not Suitable,11.907902,1,Negative Sensitivity,Not Significant
25,107.55224999999999,-6.885249999999996,Jawa Barat,122750.0,0.214700638408006,1.0,0.8824278834359233,0.18567664235391726,0.0,0.0,1.0,0.16794877895704194,3.0,0.3023564218435529,2.0,0.35541805240316376,0.0,0.0,2.0,0.3371945170584955,377.0,0.7519708910353272,0.0,3223.0980893240403,0.0,0.33345468825867475,3.0,0.3641758009398765,17.4,0.26886955,Not Suitable,14.742785,0,Positive Sensitivity,Not Significant
26,107.55224999999999,-6.8807499999999955,Jawa Barat,122750.0,0.214700638408006,1.0,0.883645012186713,0.23820488277869578,0.0,0.0,3.0,0.3358975579140839,2.0,0.23961179523712922,3.0,0.4484876484351508,0.0,0.0,0.0,0.0,601.0,0.810933967037961,0.0,3071.2123069863273,0.0,0.3177409169750435,8.0,0.5772049881597967,20.0,0.31200185,Not Suitable,16.693464,0,Positive Sensitivity,Not Significant
27,107.55224999999999,-6.876249999999994,Jawa Barat,122750.0,0.214700638408006,1.0,0.9092450166105657,0.2883245069059757,0.0,0.0,0.0,0.0,3.0,0.3023564218435529,2.0,0.35541805240316376,0.0,0.0,0.0,0.0,193.0,0.6674552002363071,415.35871912883914,3966.6124753088025,0.16054601125170737,0.41037706260887186,13.0,0.6932732641013545,21.0,0.34920233,Not Suitable,18.375874,0,Positive Sensitivity,Not Significant
